date,close
05-01-2017,116.61
06-01-2017,117.91
09-01-2017,118.99
10-01-2017,119.11
11-01-2017,119.75
12-01-2017,119.25
13-01-2017,119.04
17-01-2017,120
18-01-2017,119.99
19-01-2017,119.78
20-01-2017,120
23-01-2017,120.08
24-01-2017,119.97
25-01-2017,121.88
26-01-2017,121.94
27-01-2017,121.95
30-01-2017,121.63
31-01-2017,121.35
01-02-2017,128.75
02-02-2017,128.53
03-02-2017,129.08
06-02-2017,130.29
07-02-2017,131.53
08-02-2017,132.04
09-02-2017,132.42
10-02-2017,132.12
13-02-2017,133.29
14-02-2017,135.02
15-02-2017,135.51
16-02-2017,135.345
17-02-2017,135.72
21-02-2017,136.7
22-02-2017,137.11
23-02-2017,136.53
24-02-2017,136.66
27-02-2017,136.93
28-02-2017,136.99
01-03-2017,139.79
02-03-2017,138.96
03-03-2017,139.78
06-03-2017,139.34
07-03-2017,139.52
08-03-2017,139
09-03-2017,138.68
10-03-2017,139.14
13-03-2017,139.2
14-03-2017,138.99
15-03-2017,140.46
16-03-2017,140.69
17-03-2017,139.99
20-03-2017,141.46
21-03-2017,139.84
22-03-2017,141.42
23-03-2017,140.92
24-03-2017,140.64
27-03-2017,140.88
28-03-2017,143.8
29-03-2017,144.12
30-03-2017,143.93
31-03-2017,143.66
03-04-2017,143.7
04-04-2017,144.77
05-04-2017,144.02
06-04-2017,143.66
07-04-2017,143.34
10-04-2017,143.17
11-04-2017,141.63
12-04-2017,141.8
13-04-2017,141.05
17-04-2017,141.83
18-04-2017,141.2
19-04-2017,140.68
20-04-2017,142.44
21-04-2017,142.27
24-04-2017,143.64
25-04-2017,144.53
26-04-2017,143.68
27-04-2017,143.79
28-04-2017,143.65
01-05-2017,146.58
02-05-2017,147.51
03-05-2017,147.06
04-05-2017,146.53
05-05-2017,148.96
08-05-2017,153.01
09-05-2017,153.99
10-05-2017,153.26
11-05-2017,153.95
12-05-2017,156.1
15-05-2017,155.7
16-05-2017,155.47
17-05-2017,150.25
18-05-2017,152.54
19-05-2017,153.06
22-05-2017,153.99
23-05-2017,153.8
24-05-2017,153.34
25-05-2017,153.87
26-05-2017,153.61
30-05-2017,153.67
31-05-2017,152.76
01-06-2017,153.18
02-06-2017,155.45
05-06-2017,153.93
06-06-2017,154.45
07-06-2017,155.37
08-06-2017,154.99
09-06-2017,148.98
12-06-2017,145.42
13-06-2017,146.59
14-06-2017,145.16
15-06-2017,144.29
16-06-2017,142.27
19-06-2017,146.34
20-06-2017,145.01
21-06-2017,145.87
22-06-2017,145.63
23-06-2017,146.28
26-06-2017,145.82
27-06-2017,143.73
28-06-2017,145.83
29-06-2017,143.68
30-06-2017,144.02
03-07-2017,143.5
05-07-2017,144.09
06-07-2017,142.73
07-07-2017,144.18
10-07-2017,145.06
11-07-2017,145.53
12-07-2017,145.74
13-07-2017,147.77
14-07-2017,149.04
17-07-2017,149.56
18-07-2017,150.08
19-07-2017,151.02
20-07-2017,150.34
21-07-2017,150.27
24-07-2017,152.09
25-07-2017,152.74
26-07-2017,153.46
27-07-2017,150.56
28-07-2017,149.5
31-07-2017,148.73
01-08-2017,150.05
02-08-2017,157.14
03-08-2017,155.57
04-08-2017,156.39
07-08-2017,158.81
08-08-2017,160.08
09-08-2017,161.06
10-08-2017,155.32
11-08-2017,157.48
14-08-2017,159.85
15-08-2017,161.6
16-08-2017,160.95
17-08-2017,157.86
18-08-2017,157.5
21-08-2017,157.21
22-08-2017,159.78
23-08-2017,159.98
24-08-2017,159.27
